Company,Symbol,Forecast,Current Price,Recommendation
Apple,AAPL,229.8785636673216,229.79,Buy
Microsoft,MSFT,413.60568879182443,413.12,Buy
Amazon,AMZN,172.30188591633518,172.12,Buy
Google,GOOGL,162.14212589868316,161.78,Buy
Facebook,META,518.4949655111509,518.22,Buy
Tesla,TSLA,205.2260808979595,206.28,Sell
IBM,IBM,198.92657177640734,198.9,Buy
NVIDIA,NVDA,117.25589187987215,117.59,Sell
Netflix,NFLX,694.9552303198118,692.48,Buy
Adobe,ADBE,569.2215629941968,569.63,Sell
Intel,INTC,20.175313809450124,20.13,Buy
Cisco,CSCO,50.292724593647506,50.39,Sell
Oracle,ORCL,139.43757892660597,139.42,Buy
Salesforce,CRM,257.2559138779722,257.01,Buy
Pfizer,PFE,28.706643449415303,28.72,Sell
Johnson & Johnson,JNJ,164.19847468039268,164.23,Sell
Procter & Gamble,PG,170.2019637954198,170.03,Buy
Coca-Cola,KO,72.22222519376737,72.05,Buy
PepsiCo,PEP,172.0879088711652,172.09,Sell
McDonald's,MCD,287.75348584876485,287.86,Sell
